id,service_id,related_service_id
REL-0001,SVC-AADHAAR,SVC-DIGILOCKER
REL-0002,SVC-AADHAAR,SVC-ESHRAM
REL-0003,SVC-AADHAAR,SVC-PMKISAN
REL-0004,SVC-PASSPORT,SVC-AADHAAR
REL-0005,SVC-PASSPORT,SVC-VOTER
REL-0006,SVC-VOTER,SVC-AADHAAR
REL-0007,SVC-PMKISAN,SVC-AADHAAR
REL-0008,SVC-PMKISAN,SVC-ENAM
REL-0009,SVC-ENAM,SVC-PMKISAN
REL-0010,SVC-PMJAY,SVC-ABDM
REL-0011,SVC-PMJAY,SVC-AADHAAR
REL-0012,SVC-ABDM,SVC-PMJAY
REL-0013,SVC-ESHRAM,SVC-EPFO
REL-0014,SVC-ESHRAM,SVC-ESIC
REL-0015,SVC-ESHRAM,SVC-AADHAAR
REL-0016,SVC-EPFO,SVC-ESIC
REL-0017,SVC-EPFO,SVC-ESHRAM
REL-0018,SVC-ESIC,SVC-EPFO
REL-0019,SVC-ESIC,SVC-ESHRAM
REL-0020,SVC-NCS,SVC-ESHRAM
REL-0021,SVC-UDYAM,SVC-STARTUP
REL-0022,SVC-UDYAM,SVC-GEM
REL-0023,SVC-UDYAM,SVC-GST
REL-0024,SVC-STARTUP,SVC-UDYAM
REL-0025,SVC-STARTUP,SVC-GEM
REL-0026,SVC-GEM,SVC-UDYAM
REL-0027,SVC-GEM,SVC-STARTUP
REL-0028,SVC-ITR,SVC-GST
REL-0029,SVC-ITR,SVC-AADHAAR
REL-0030,SVC-GST,SVC-ITR
REL-0031,SVC-GST,SVC-UDYAM
REL-0032,SVC-DIGILOCKER,SVC-AADHAAR
REL-0033,SVC-DIGILOCKER,SVC-UMANG
REL-0034,SVC-UMANG,SVC-DIGILOCKER
REL-0035,SVC-UMANG,SVC-EPFO
REL-0036,SVC-UMANG,SVC-ITR
REL-0037,SVC-PMAYU,SVC-AADHAAR
REL-0038,SVC-NSP,SVC-AADHAAR
REL-0039,SVC-NSP,SVC-ABC
REL-0040,SVC-SWAYAM,SVC-NSP
REL-0041,SVC-SWAYAM,SVC-ABC
REL-0042,SVC-ABC,SVC-SWAYAM
REL-0043,SVC-ABC,SVC-NSP
REL-0044,SVC-PARIVAHAN,SVC-DIGILOCKER
REL-0045,SVC-PARIVAHAN,SVC-AADHAAR
REL-0046,SVC-MAH-AAPLE,SVC-MAH-REV
REL-0047,SVC-MAH-AAPLE,SVC-MAH-DBT
REL-0048,SVC-MAH-AAPLE,SVC-AADHAAR
REL-0049,SVC-MAH-REV,SVC-MAH-AAPLE
REL-0050,SVC-MAH-FOOD,SVC-MAH-AAPLE
REL-0051,SVC-MAH-FOOD,SVC-AADHAAR
REL-0052,SVC-MAH-DBT,SVC-NSP
REL-0053,SVC-MAH-DBT,SVC-MAH-AAPLE
REL-0054,SVC-MAH-RTO,SVC-PARIVAHAN
REL-0055,SVC-MAH-RTO,SVC-DIGILOCKER
