service_id,name,category_id,sub_category,department_id,ministry_id,government_level,state_id,description,eligibility,benefits,application_mode,processing_time,fees,validity,official_portal,official_apply_link,download_forms,helpline_number,email,office_locator_info,languages_available,last_updated,collection_method,source_url,ai_summary,ai_explanation,common_questions,common_mistakes,search_keywords,suggested_followups
SVC-AADHAAR,Aadhaar Enrolment & Update,CAT-IDENTITY,Unique Identification,DEP-MEITY,MIN-MEITY,Central,,"12-digit unique identity number issued by UIDAI to residents of India, based on demographic and biometric data. Used as proof of identity and address and as a KYC token across government and private services.",Any resident of India (including infants) irrespective of citizenship status of parents for enrolment; updates available to existing holders.,"Single portable ID accepted nationwide; enables DBT, subsidy linkage, KYC, and access to many government schemes.",Offline (Enrolment Centre) and Online update (SSUP / mAadhaar),Enrolment: up to 90 days for UID generation (typically sooner). Update: up to 30 days.,Enrolment: free. Demographic update: free. Biometric update: Rs. 100 (inclusive of GST) as per UIDAI fee schedule.,Lifelong (subject to deactivation for residents who acquire foreign citizenship).,https://uidai.gov.in,https://myaadhaar.uidai.gov.in,https://uidai.gov.in/enrolment-update/aadhaar-enrolment.html,1947,help@uidai.gov.in,Aadhaar Seva Kendra locator at https://bhuvan.uidai.gov.in/locator,"Hindi, English and 21 scheduled languages on portal/app",2024-01-01,manual,https://uidai.gov.in,"Aadhaar is India's 12-digit resident identity number issued by UIDAI, used for KYC and government benefit delivery.","Aadhaar links a resident's identity to demographic and biometric data. It is the foundational ID for Direct Benefit Transfer, opening bank accounts, filing taxes, and availing schemes. Enrolment is free; updates may carry a fee. It is not proof of citizenship.","[""How do I enrol for Aadhaar?"", ""How do I update my address in Aadhaar?"", ""Is Aadhaar mandatory for subsidies?"", ""How do I download e-Aadhaar?""]","[""Assuming Aadhaar is proof of citizenship"", ""Using unofficial paid agents instead of authorised centres"", ""Not updating mobile number for OTP-based services""]","[""aadhaar enrolment near me"", ""update aadhaar address"", ""e aadhaar download"", ""aadhaar status check""]","[""How do I link Aadhaar to my bank account for DBT?"", ""What documents are valid as Aadhaar PoA/PoI?""]"
SVC-PASSPORT,Passport Issuance (Passport Seva),CAT-IDENTITY,Travel Document,DEP-PSP,MIN-MEA,Central,,"Issuance/renewal of Indian passports (ordinary, Tatkaal, diplomatic/official) by the Ministry of External Affairs through Passport Seva Kendras (PSK) and Post Office PSKs.","Indian citizen; must provide proof of date of birth, address, and nationality. Minors require parent consent.",Internationally recognised travel document; enables visa-free/visa-on-arrival access; Tatkaal for urgent issue.,Online application + in-person appointment at PSK,Tatkaal: ~1-3 days post verification. Normal: ~30 days (post police verification).,Normal 36-page: Rs. 1500. Tatkaal 36-page: Rs. 3500. (10-year validity for adults; minors 5 years / till age 18).,10 years for adults; 5 years or till age 18 for minors.,https://passportindia.gov.in,https://portal2.passportindia.gov.in/AppOnlineProject/welcomeLink,https://passportindia.gov.in/AppOnlineProject/online/freshFormSubmission,1800-258-1800,passport.helpdesk@mea.gov.in,PSK/PopSK locator at https://passportindia.gov.in -> 'Locate PSK',"English, Hindi",2024-01-01,official_portal,https://passportindia.gov.in,"Passport Seva issues Indian passports online with in-person verification at PSKs; Normal ~30 days, Tatkaal expedited.","Citizens apply online, pay a fee, and attend a PSK appointment for document checks and biometrics. Police verification follows for fresh passports. Tatkaal offers faster issue at higher cost. Passports are valid 10 years for adults.","[""How do I apply for a passport?"", ""What are the passport fees?"", ""How long does a passport take?"", ""How do I renew my passport?""]","[""Mismatch between address proof and application"", ""Booking appointment before document readiness"", ""Wrong annexure selection""]","[""passport apply online"", ""passport seva kendra near me"", ""tatkaal passport fees"", ""passport renewal""]","[""What documents prove address for passport?"", ""How do I track my passport application status?""]"
SVC-VOTER,Voter ID / Electoral Roll Enrolment (Form 6),CAT-IDENTITY,Voter Registration,DEP-ECI,MIN-ECI,Central,,Registration of names in the electoral roll and issuance of Electors Photo Identity Card (EPIC / Voter ID) by the Election Commission of India.,"Indian citizen, 18+ years on qualifying date, ordinary resident of the constituency.",Right to vote in elections; EPIC serves as identity and address proof.,Online (NVSP / Voter Helpline app) and offline (BLO/ERO),Typically 2-4 weeks after verification; before each summary revision.,Free.,"Until deletion on account of death, shift, or disqualification.",https://voterportal.eci.gov.in,https://nvsp.in,https://voterportal.eci.gov.in/forms,1950,eci@eci.gov.in,District Electoral Officer / ERO offices; locate via NVSP.,"Hindi, English and regional languages",2024-01-01,official_portal,https://voterportal.eci.gov.in,"ECI issues Voter ID (EPIC) to citizens 18+ via Form 6; free, online through NVSP.",Any Indian citizen aged 18 can enrol in the electoral roll using Form 6 on NVSP. After BLO verification the name is added and an e-EPIC can be downloaded. The Voter ID also works as ID/address proof.,"[""How do I apply for a Voter ID?"", ""How do I correct my name in the voter list?"", ""What is Form 6?"", ""How do I download e-EPIC?""]","[""Applying in two constituencies"", ""Wrong date of birth proof"", ""Not updating address after moving""]","[""voter id apply online"", ""form 6 download"", ""e epic download"", ""voter list check""]","[""How do I correct my address in the voter roll?"", ""What is the difference between EPIC and e-EPIC?""]"
SVC-PMKISAN,PM-KISAN Samman Nidhi,CAT-AGR,Farmer Income Support,DEP-DARE,MIN-AGR,Central,,"Direct income support of Rs. 6,000/year to eligible farmer families, paid in three equal instalments of Rs. 2,000 directly into bank accounts.","Small and marginal farmer families (cultivable landholding) as per land records; excludes institutional landholders, higher-income categories.","Rs. 6,000 per year direct transfer; supports farm input costs.","Online (pmkisan.gov.in), CSC, or nearest agriculture office",Instalments released periodically; first credit after verification (weeks).,Free.,Continuous while eligibility and land records valid; e-KYC required periodically.,https://pmkisan.gov.in,https://pmkisan.gov.in/BeneficiaryStatus.aspx,https://pmkisan.gov.in/Documents/PMKISAN.pdf,155261 / 1800115526,pmkisan-ict@gov.in,State/District Agriculture Offices; CSC centres.,"Hindi, English, regional",2024-01-01,official_portal,https://pmkisan.gov.in,"PM-KISAN gives eligible farmer families Rs. 6,000/year in 3 DBT instalments; free, Aadhaar-linked.","The scheme transfers Rs. 2,000 every four months to farmer families owning cultivable land, subject to exclusion criteria. Registration needs Aadhaar, a DBT bank account, and land records. Periodic e-KYC is mandatory to keep receiving benefits.","[""How do I register for PM-KISAN?"", ""Why is my PM-KISAN payment pending?"", ""How do I do PM-KISAN e-KYC?"", ""Am I eligible for PM-KISAN?""]","[""Aadhaar not linked to bank account"", ""Land record mismatch"", ""Missing periodic e-KYC""]","[""pm kisan status"", ""pm kisan registration"", ""pm kisan ekyc"", ""pm kisan 14th installment""]","[""How do I link Aadhaar to my bank for PM-KISAN?"", ""What are the PM-KISAN exclusion criteria?""]"
SVC-ENAM,eNAM (National Agriculture Market),CAT-AGR,Agriculture Marketing,DEP-DARE,MIN-AGR,Central,,Online trading platform integrating APMC mandis to create a unified national market for agricultural commodities.,"Farmers, traders, and FPOs registered with linked APMC mandis.","Better price discovery, transparent bidding, wider buyer reach, reduced intermediaries.",Online (enam.gov.in) and via mandi terminals,Trade settlement as per mandi rules (typically within mandated days).,Transaction charges as per APMC bye-laws; platform access free for farmers.,Account active while KYC valid.,https://enam.gov.in,https://enam.gov.in/web/guest/registration,https://enam.gov.in,1800-270-0222,enam@agtech.gov.in,Linked APMC mandis across participating states.,"Hindi, English",2024-01-01,official_portal,https://enam.gov.in,eNAM is a unified online agriculture trading platform linking APMC mandis for transparent price discovery.,"eNAM lets farmers and traders transact across mandis through e-auction, improving price discovery and reducing middlemen. Farmers register free and link their mandi and bank account; traders need a licence.","[""What is eNAM?"", ""How do I sell on eNAM?"", ""Which mandis are on eNAM?""]","[""Assuming all mandis are integrated"", ""Not grading produce before listing""]","[""enam registration"", ""enam mandi list"", ""sell crops online""]","[""How do I grade my produce for eNAM?"", ""What are eNAM transaction charges?""]"
SVC-PMJAY,Ayushman Bharat PM-JAY,CAT-HEALTH,Health Insurance,DEP-NHA,MIN-HEA,Central,,World's largest health assurance scheme providing Rs. 5 lakh per family per year for secondary and tertiary care hospitalization to eligible poor and vulnerable families.,Based on SECC deprivation criteria and socio-economic parameters; beneficiaries identified via NHA database. States may expand.,Cashless treatment at empanelled public/private hospitals; no cap on family size/age.,Through Ayushman Bharat Kendras / CSC / hospital helpdesk,Card creation same day; treatment cashless at empanelled hospitals.,Free for eligible beneficiaries (no premium).,Annual cover resets each financial year; card valid while eligible.,https://pmjay.gov.in,https://pmjay.gov.in/beneficiary-portal/,https://pmjay.gov.in,14555 / 1800-11-15555,pmjay@nha.gov.in,Ayushman Bharat Digital Kendras; empanelled hospital list on portal.,"Hindi, English, regional",2024-01-01,official_portal,https://pmjay.gov.in,"PM-JAY gives eligible families Rs. 5 lakh/year cashless hospitalization; free, SECC-based eligibility.",PM-JAY covers secondary/tertiary hospitalization costs up to Rs. 5 lakh per family per year for poor and vulnerable households identified via SECC. Beneficiaries get an Ayushman card and receive cashless treatment at empanelled hospitals with no out-of-pocket premium.,"[""Am I eligible for Ayushman Bharat?"", ""How do I make an Ayushman card?"", ""Which hospitals accept PM-JAY?"", ""What is covered under PM-JAY?""]","[""Assuming all citizens are covered"", ""Not carrying ID at hospital"", ""Confusing ABHA with Ayushman card""]","[""pmjay eligibility check"", ""ayushman card download"", ""pmjay hospital list"", ""ayushman bharat benefits""]","[""How do I link ABHA with my Ayushman card?"", ""What is not covered under PM-JAY?""]"
SVC-ABDM,Ayushman Bharat Digital Mission (ABHA),CAT-HEALTH,Digital Health,DEP-MoHFW,MIN-HEA,Central,,"Creates a digital health ecosystem: ABHA ID, Health ID, Personal Health Records (PHR), and interoperable health information exchange.",Any Indian resident (voluntary opt-in).,Single health ID to link records across providers; consent-based sharing; easier continuity of care.,Online (abdm.gov.in / ABHA app) and via health facilities,Instant ABHA creation.,Free.,Until cancelled by user; voluntary.,https://abdm.gov.in,https://abha.abdm.gov.in,https://abdm.gov.in,1800-11-4477 / 1800-11-6644,support@abdm.gov.in,ABDM-enabled health facilities and CSCs.,"Hindi, English, regional",2024-01-01,official_portal,https://abdm.gov.in,ABDM provides a voluntary ABHA health ID to link and consent-share medical records across providers.,"ABDM builds a digital health infrastructure where residents create an ABHA ID to consolidate health records and share them with providers on a consent basis. It is free and voluntary, improving continuity of care.","[""What is ABHA ID?"", ""How do I create a Health ID?"", ""Is ABHA mandatory?"", ""How is my data protected?""]","[""Confusing ABHA with Ayushman card"", ""Assuming it is mandatory""]","[""abha id create"", ""abdm health record"", ""health id india""]","[""How do I link my hospital records to ABHA?"", ""How do I revoke data consent?""]"
SVC-ESHRAM,e-Shram (National Database of Unorganised Workers),CAT-LABOUR,Worker Registration,DEP-LAB,MIN-LAB,Central,,National database and registration of unorganised sector workers to extend social security benefits.,"Unorganised workers aged 16-59, not members of EPFO/ESIC, with Aadhaar.",e-Shram card; eligibility for future social security/welfare schemes; portability.,Online (eshram.gov.in) and CSC,Instant card generation after Aadhaar OTP verification.,Free.,Card valid; update on change of details.,https://eshram.gov.in,https://eshram.gov.in,https://eshram.gov.in,14434,eshram@gov.in,CSC centres; State Labour Departments.,"Hindi, English, regional",2024-01-01,official_portal,https://eshram.gov.in,"e-Shram registers unorganised workers (16-59, not EPFO/ESIC) for social security; free Aadhaar-based.",e-Shram builds a national registry of informal workers using Aadhaar and bank details. Registered workers get a UAN-based e-Shram card and become eligible for various welfare schemes. It is free and complements EPFO/ESIC coverage.,"[""Who can register on e-Shram?"", ""How do I download my e-Shram card?"", ""Is e-Shram for EPFO members?""]","[""EPFO/ESIC members wrongly registering"", ""Bank not linked to Aadhaar""]","[""eshram registration"", ""eshram card download"", ""unorganised worker scheme""]","[""Which schemes use e-Shram data?"", ""How do I update my e-Shram record?""]"
SVC-EPFO,EPF / UAN Services (Employees' Provident Fund),CAT-LABOUR,Retirement Savings,DEP-EPFO,MIN-LAB,Central,,"Mandatory provident fund, pension (EPS), and insurance (EDLI) for organised-sector employees; managed via UAN.",Employees with basic wage up to statutory limit in establishments covered under EPF Act.,"Retirement corpus with interest, pension, withdrawal/advance facilities, transfer on job change.",Online (unifiedportal-mem.epfindia.gov.in) and employer,Claims typically 7-20 days after verification.,No fee; statutory contributions by employer/employee.,Account active until final settlement/transfer.,https://www.epfindia.gov.in,https://unifiedportal-mem.epfindia.gov.in/memberinterface/,https://www.epfindia.gov.in/site_en/Forms.php,1800-118-005 / 14434,epfindia@gov.in,Regional EPFO offices; locate via portal.,"Hindi, English",2024-01-01,official_portal,https://www.epfindia.gov.in,EPFO manages EPF/EPS/EDLI for organised employees via UAN; online claims and transfers.,"Employees contribute to EPF with employer matching; the UAN ties multiple member IDs across jobs. Members can seed KYC and file online claims for withdrawal, transfer, or advances. Balance and status are checkable via UMANG or the member portal.","[""How do I check PF balance?"", ""How do I transfer PF on job change?"", ""How do I withdraw PF?"", ""What is UAN?""]","[""Not seeding Aadhaar/PAN causing claim rejection"", ""Multiple UANs across jobs""]","[""epf balance check"", ""uan login"", ""pf withdrawal online"", ""epf claim status""]","[""How do I merge multiple UANs?"", ""What is the EPF interest rate?""]"
SVC-ESIC,ESIC (Employees' State Insurance),CAT-LABOUR,Social Insurance,DEP-ESIC,MIN-LAB,Central,,"Social security and health insurance scheme for workers in covered establishments (medical, sickness, maternity, disability benefits).","Employees with wage up to Rs. 21,000/month (Rs. 25,000 for persons with disability) in ESIC-covered factories/establishments.","Cashless medical care for worker and family, sickness/maternity benefits, disability and dependent benefits.",Employer enrols; employee uses ESIC portal / dispensaries,Enrolment by employer; benefits as per claim processing.,Contribution by employer (3.25%) and employee (0.75%) on wages.,Coverage while in covered employment; continue via scheme provisions.,https://www.esic.gov.in,https://www.esic.gov.in/insured-person,https://www.esic.gov.in/downloads/forms,1800-11-2526,webmaster@esic.gov.in,"ESIC dispensaries, hospitals, and regional offices.","Hindi, English, regional",2024-01-01,official_portal,https://www.esic.gov.in,"ESIC provides medical and cash benefits to covered workers (wage <= Rs. 21,000) via employer enrolment.","ESIC is a contributory social insurance scheme where employer and employee contribute a percentage of wages. Covered workers and their families get cashless medical care plus sickness, maternity, and disability benefits. Enrolment is done by the employer.","[""What is the ESIC wage limit?"", ""How do I get a Pehchan card?"", ""What does ESIC cover?"", ""How do I claim ESIC sickness benefit?""]","[""Confusing ESIC with EPF"", ""Not updating family details for medical cover""]","[""esic benefits"", ""pehchan card download"", ""esic wage limit"", ""esic claim""]","[""How do I find my nearest ESIC dispensary?"", ""Can I avail ESIC after leaving the job?""]"
