id,service_id,name,mandatory,category
DOC-0001,SVC-AADHAAR,Proof of Identity (PoI),True,required
DOC-0002,SVC-AADHAAR,Proof of Address (PoA),True,required
DOC-0003,SVC-AADHAAR,Date of Birth proof,True,required
DOC-0004,SVC-AADHAAR,Introducer / Head of Family based enrolment where documents unavailable,False,optional
DOC-0005,SVC-PASSPORT,Proof of Date of Birth,True,required
DOC-0006,SVC-PASSPORT,Proof of Address (current),True,required
DOC-0007,SVC-PASSPORT,Proof of nationality / old passport (if renewing),True,required
DOC-0008,SVC-PASSPORT,Annexure as applicable,True,required
DOC-0009,SVC-PASSPORT,Marriage certificate (name change),False,optional
DOC-0010,SVC-PASSPORT,ECNR eligibility proof,False,optional
DOC-0011,SVC-VOTER,Age proof (birth certificate / class 10 cert),True,required
DOC-0012,SVC-VOTER,Address proof,True,required
DOC-0013,SVC-VOTER,Passport-size photo (online),True,required
DOC-0014,SVC-VOTER,Declaration of ordinary residence,True,required
DOC-0015,SVC-VOTER,"Aadhaar (for identity linkage, voluntary)",False,optional
DOC-0016,SVC-PMKISAN,Aadhaar,True,required
DOC-0017,SVC-PMKISAN,Bank account (DBT-linked),True,required
DOC-0018,SVC-PMKISAN,Landholding records / Khatauni,True,required
DOC-0019,SVC-PMKISAN,Samagra / state ID where integrated,False,optional
DOC-0020,SVC-ENAM,Bank account,True,required
DOC-0021,SVC-ENAM,Aadhaar,True,required
DOC-0022,SVC-ENAM,Trader licence (for traders),True,required
DOC-0023,SVC-ENAM,GST (traders if applicable),True,required
DOC-0024,SVC-ENAM,FPO registration,False,optional
DOC-0025,SVC-PMJAY,Ayushman card / ABHA,True,required
DOC-0026,SVC-PMJAY,Eligibility confirmation (SECC/Rural-Urban),True,required
DOC-0027,SVC-PMJAY,ID proof (Aadhaar/Voter/ration),True,required
DOC-0028,SVC-PMJAY,PMJAY e-card print,False,optional
DOC-0029,SVC-ABDM,Aadhaar / Driving Licence / any govt ID for ABHA creation,True,required
DOC-0030,SVC-ABDM,Mobile number for OTP,False,optional
DOC-0031,SVC-ESHRAM,Aadhaar,True,required
DOC-0032,SVC-ESHRAM,Bank account,True,required
DOC-0033,SVC-ESHRAM,Mobile linked to Aadhaar,True,required
DOC-0034,SVC-ESHRAM,Occupation / skill details,False,optional
DOC-0035,SVC-EPFO,UAN,True,required
DOC-0036,SVC-EPFO,Aadhaar (seeded),True,required
DOC-0037,SVC-EPFO,Bank account,True,required
DOC-0038,SVC-EPFO,PAN (for certain withdrawals),True,required
DOC-0039,SVC-EPFO,Form 15G/15H,False,optional
DOC-0040,SVC-EPFO,Employer certificate,False,optional
DOC-0041,SVC-ESIC,IP number / UAN,True,required
DOC-0042,SVC-ESIC,ESIC card / Pehchan card,True,required
DOC-0043,SVC-ESIC,Aadhaar,True,required
DOC-0044,SVC-ESIC,Bank account,True,required
DOC-0045,SVC-ESIC,Employer certificate,False,optional
DOC-0046,SVC-NCS,Mobile / email for registration,True,required
DOC-0047,SVC-NCS,Aadhaar (optional for verification),True,required
