id,service_id,step_order,title,description
STEP-0001,SVC-AADHAAR,1,Step 1,Locate nearest Aadhaar enrolment centre / Aadhaar Seva Kendra.
STEP-0002,SVC-AADHAAR,2,Step 2,Fill enrolment/update form and submit supporting documents.
STEP-0003,SVC-AADHAAR,3,Step 3,"Provide biometric (fingerprints, iris) and photograph."
STEP-0004,SVC-AADHAAR,4,Step 4,Collect acknowledgement slip with Enrolment ID (EID).
STEP-0005,SVC-AADHAAR,5,Step 5,Download e-Aadhaar once UID is generated (verify on uidai.gov.in).
STEP-0006,SVC-PASSPORT,1,Step 1,Register on passportindia.gov.in and fill the application form.
STEP-0007,SVC-PASSPORT,2,Step 2,Pay fee and book appointment at nearest PSK/PopSK.
STEP-0008,SVC-PASSPORT,3,Step 3,Visit PSK with originals + photocopies for document verification and biometric capture.
STEP-0009,SVC-PASSPORT,4,Step 4,Police verification (for fresh passports) at registered address.
STEP-0010,SVC-PASSPORT,5,Step 5,Passport printed and dispatched; track status online.
STEP-0011,SVC-VOTER,1,Step 1,Visit nvsp.in or voterportal.eci.gov.in and register/login.
STEP-0012,SVC-VOTER,2,Step 2,Fill Form 6 (new enrolment) with details and upload documents.
STEP-0013,SVC-VOTER,3,Step 3,Submit and note reference number.
STEP-0014,SVC-VOTER,4,Step 4,BLO verifies at residence; name added to draft roll.
STEP-0015,SVC-VOTER,5,Step 5,Download e-EPIC once approved.
STEP-0016,SVC-PMKISAN,1,Step 1,Visit pmkisan.gov.in -> 'New Farmer Registration'.
STEP-0017,SVC-PMKISAN,2,Step 2,Enter Aadhaar and land/account details.
STEP-0018,SVC-PMKISAN,3,Step 3,Verify and submit; note registration number.
STEP-0019,SVC-PMKISAN,4,Step 4,District/State validates land records.
STEP-0020,SVC-PMKISAN,5,Step 5,Instalments credited to bank account; check status online.
STEP-0021,SVC-ENAM,1,Step 1,Register on enam.gov.in as farmer/trader.
STEP-0022,SVC-ENAM,2,Step 2,Link APMC mandi and bank account.
STEP-0023,SVC-ENAM,3,Step 3,List produce with quality/grade.
STEP-0024,SVC-ENAM,4,Step 4,Participate in e-auction; buyer bids.
STEP-0025,SVC-ENAM,5,Step 5,Payment settled to farmer account post-trade.
STEP-0026,SVC-PMJAY,1,Step 1,Check eligibility via pmjay.gov.in 'Am I Eligible'.
STEP-0027,SVC-PMJAY,2,Step 2,Visit Ayushman Bharat / CSC kendra with ID.
STEP-0028,SVC-PMJAY,3,Step 3,Create Ayushman card / e-card.
STEP-0029,SVC-PMJAY,4,Step 4,Visit empanelled hospital; show card at helpdesk.
