service_id,name,category,sub_category,department,ministry,gov_level,state,description,eligibility,benefits,application_mode,processing_time,fees,validity,official_portal,official_apply_link,helpline_number,email,office_locator,source_url,last_updated,version,content_hash,collected_at,ai_summary
CEN-TRN-DL-009,Driving Licence (Sarathi / Parivahan),Transport,Licensing,Ministry of Road Transport and Highways,Ministry of Road Transport and Highways,central,,"Application for learner's licence, driving licence, and renewals through the Parivahan Sarathi portal.",Minimum age 16 (gearless <50cc) / 18 (LMV); pass driving test.,Legal authorisation to drive; valid identity/address proof.,both,"Learner's licence same day (online test); DL after driving test, ~7-30 days.",Learner's ~Rs.150; DL ~Rs.200+ (varies by state RTO).,"20 years or until age 40 (whichever earlier), then renewable.",https://parivahan.gov.in,https://sarathi.parivahan.gov.in,0120-2459169,helpdesk-sarathi@gov.in,Regional Transport Office (RTO) locator on Parivahan.,https://parivahan.gov.in/parivahan/,2025-01-01,1,0b7f1cad46e25d2407b6ddd933f0e620f4952c985ace22e35c78955464fd4848,2026-07-25T17:25:31.345552+00:00,"Driving Licence (Sarathi / Parivahan) is a central government service under Ministry of Road Transport and Highways in the Transport category, available both."
CEN-DIG-DIGILOCKER-010,DigiLocker,Digital Services,Document Wallet,National e-Governance Division,Ministry of Electronics and Information Technology,central,,Cloud-based platform for issuance and verification of documents and certificates in digital format.,Any Indian citizen with an Aadhaar-linked mobile number.,"Access to authentic digital documents (DL, RC, marksheets, PAN) legally at par with originals.",online,Instant account creation.,Free.,Ongoing.,https://digilocker.gov.in,https://www.digilocker.gov.in/dashboard,,support@digilocker.gov.in,Online only.,https://digilocker.gov.in,2025-01-01,1,9907774c2e184601aa804627b67c87dd381148196dcbdcbe24ed32a488b1cc03,2026-07-25T17:25:31.345552+00:00,"DigiLocker is a central government service under National e-Governance Division in the Digital Services category, available online."
CEN-EDU-SCHOLARSHIP-011,National Scholarship Portal (NSP),Education,Scholarships,Department of Higher Education,Ministry of Education,central,,Single-window platform for students to apply for various central and state government scholarships.,"Students meeting scheme-specific income, category and academic criteria.","Financial assistance for tuition, maintenance and other academic expenses via DBT.",online,Scheme-dependent; verified by institution and department.,Free.,Per academic year; renewable.,https://scholarships.gov.in,https://scholarships.gov.in/fresh/newstdRegfrmInstruction,0120-6619540,helpdesk@nsp.gov.in,Through educational institutions.,https://scholarships.gov.in,2025-01-01,1,54c7c9ae6c67ce54409c11f7f2f235b95deea7222e2b32b4a57de40df9ae42be,2026-07-25T17:25:31.345552+00:00,"National Scholarship Portal (NSP) is a central government service under Department of Higher Education in the Education category, available online."
CEN-FIN-PAN-003,PAN Card (Permanent Account Number),Finance,Tax Identity,Income Tax Department,Ministry of Finance,central,,PAN is a 10-character alphanumeric identifier issued for all tax-related and high-value financial transactions.,"Individuals, companies, HUFs, and entities carrying out financial transactions in India.","Mandatory for filing income tax returns, opening bank accounts, and high-value transactions.",online,e-PAN via Aadhaar: instant to 10 minutes; physical card: 15 days.,Instant e-PAN free; regular PAN Rs.93 (Indian address) + GST.,Lifetime.,https://www.incometax.gov.in,https://www.incometax.gov.in/iec/foportal/help/how-to-apply-for-instant-pan,1800-103-0025,,NSDL/UTIITSL PAN centres via portal.,https://www.incometax.gov.in/iec/foportal/,2025-01-01,1,02d85b10c296607f79040be04f7d495a680e05cc86f9066b5b40659bc04b386e,2026-07-25T17:25:31.345552+00:00,"PAN Card (Permanent Account Number) is a central government service under Income Tax Department in the Finance category, available online."
CEN-FIN-ITR-004,Income Tax Return (ITR) Filing,Finance,Taxation,Income Tax Department,Ministry of Finance,central,,Annual filing of income tax returns by taxpayers through the e-filing portal.,Individuals/entities with taxable income above the exemption limit or seeking refunds.,"Legal compliance, tax refunds, income proof for loans/visas.",online,Refund processing: typically 7-45 days after e-verification.,Free filing; late fee up to Rs.5000 under Section 234F if after due date.,Per assessment year.,https://www.incometax.gov.in,https://www.incometax.gov.in/iec/foportal/,1800-103-0025,,TRP (Tax Return Preparer) locator on portal.,https://www.incometax.gov.in/iec/foportal/,2025-01-01,1,ae84a262d4fa779621bd85664cf2baec0813c20add4d2652a9ebd69ef19c2b4f,2026-07-25T17:25:31.345552+00:00,"Income Tax Return (ITR) Filing is a central government service under Income Tax Department in the Finance category, available online."
CEN-BIZ-UDYAM-005,Udyam Registration (MSME),Business,Enterprise Registration,"Ministry of Micro, Small and Medium Enterprises",Ministry of MSME,central,,"Free online registration for Micro, Small and Medium Enterprises to obtain a Udyam Registration Number.","Any micro, small or medium enterprise (manufacturing or services) as per turnover/investment criteria.","Access to collateral-free loans, subsidies, priority sector lending, and government tenders.",online,Instant to a few days; registration certificate generated online.,Free (no charges for Udyam registration).,Permanent (subject to annual data update).,https://udyamregistration.gov.in,https://udyamregistration.gov.in/UdyamRegistration.aspx,011-23063800,champions@gov.in,MSME-DI / Champions Control Rooms.,https://udyamregistration.gov.in,2025-01-01,1,6b1248c01aab5e805c7ccb48c32bf738e5c9ce0a16d418aaded50367a43f9573,2026-07-25T17:25:31.345552+00:00,"Udyam Registration (MSME) is a central government service under Ministry of Micro, Small and Medium Enterprises in the Business category, available online."
CEN-IDN-AADHAAR-001,Aadhaar Enrolment / Update,Identity,Unique ID,Unique Identification Authority of India (UIDAI),Ministry of Electronics and Information Technology,central,,Aadhaar is a 12-digit unique identity number issued to residents of India based on biometric and demographic data.,"Any resident of India, including infants and children, regardless of age or gender.","Universally accepted proof of identity and address; enables access to subsidies, benefits and services (DBT).",both,Enrolment: up to 90 days for Aadhaar generation; updates: 30 days.,"First enrolment free. Demographic update Rs.50, biometric update Rs.100 (as notified).",Lifetime (updates required when details change).,https://uidai.gov.in,https://myaadhaar.uidai.gov.in,1947,help@uidai.gov.in,https://appointments.uidai.gov.in (Aadhaar Seva Kendra locator),https://uidai.gov.in/en/my-aadhaar/get-aadhaar.html,2025-01-01,1,e8491a29c81fd3e643fa0401932bf8f1f6c0a5678a0e0e015b87a861ec91d2a5,2026-07-25T17:25:31.345552+00:00,"Aadhaar Enrolment / Update is a central government service under Unique Identification Authority of India (UIDAI) in the Identity category, available both."
CEN-IDN-PASSPORT-002,Passport (Fresh / Reissue),Identity,Travel Document,"Consular, Passport and Visa Division",Ministry of External Affairs,central,,Issuance of Indian passport for international travel through the Passport Seva online portal.,Indian citizens. Minors apply through parents/guardians.,Internationally recognised travel document and proof of Indian citizenship.,online,Normal: 30-45 days; Tatkaal: 1-3 working days (post police verification norms).,"Rs.1500 (36 pages, normal) to Rs.3500+ (Tatkaal); varies by pages/type.",10 years for adults; 5 years or until age 18 for minors.,https://www.passportindia.gov.in,https://portal2.passportindia.gov.in,1800-258-1800,,Passport Seva Kendra (PSK) / Post Office PSK locator on portal.,https://www.passportindia.gov.in/psp,2025-01-01,1,994bfac4cb2c67c488008693354ef8f0ca58002576c7562a9fbbda02b12aaaf5,2026-07-25T17:25:31.345552+00:00,"Passport (Fresh / Reissue) is a central government service under Consular, Passport and Visa Division in the Identity category, available online."
CEN-AGR-PMKISAN-006,PM-KISAN Samman Nidhi,Agriculture,Income Support,Department of Agriculture & Farmers Welfare,Ministry of Agriculture and Farmers Welfare,central,,Direct income support of Rs.6000 per year in three instalments to eligible landholding farmer families.,"Landholding farmer families, subject to exclusion criteria (income tax payers, institutional landholders excluded).",Rs.6000/year paid directly to bank accounts via DBT.,both,Verification-dependent; instalments released tri-annually.,Free.,Ongoing while eligible.,https://pmkisan.gov.in,https://pmkisan.gov.in/RegistrationFormNew.aspx,155261,pmkisan-ict@gov.in,Common Service Centres (CSC) / village revenue officers.,https://pmkisan.gov.in,2025-01-01,1,d3080500247ef379908c38da8bac1be14050b62d1583bcc606ea915a8950d741,2026-07-25T17:25:31.345552+00:00,"PM-KISAN Samman Nidhi is a central government service under Department of Agriculture & Farmers Welfare in the Agriculture category, available both."
CEN-HLT-PMJAY-007,Ayushman Bharat PM-JAY (Ayushman Card),Healthcare,Health Insurance,National Health Authority,Ministry of Health and Family Welfare,central,,Health assurance scheme providing up to Rs.5 lakh per family per year for secondary and tertiary care hospitalisation.,Families identified as per SECC deprivation criteria / eligible categories.,Cashless treatment up to Rs.5 lakh/family/year at empanelled hospitals.,both,Ayushman card generation: instant to a few days after eligibility check.,Free.,"Annual coverage, renewable while eligible.",https://pmjay.gov.in,https://beneficiary.nha.gov.in,14555,,Empanelled hospitals & Ayushman Mitra desks; CSC centres.,https://pmjay.gov.in,2025-01-01,1,dee82bec285c3b0b4a8c5269d70562b4b01a72b3b6ee52b9d94fc22cc61427bf,2026-07-25T17:25:31.345552+00:00,"Ayushman Bharat PM-JAY (Ayushman Card) is a central government service under National Health Authority in the Healthcare category, available both."
